M200,m200_msun,z,c200,weight
311941542797173.0,311941542797173.0,0.1,2.396579115964581,0.0025
195074462982544.84,195074462982544.84,0.1,2.5528371398579233,0.0025
833315509970895.9,833315509970895.9,0.1,3.20617000377594,0.0025
152256007156504.4,152256007156504.4,0.1,9.946528268932166,0.0025
121087142421069.38,121087142421069.38,0.1,4.022087964779724,0.0025
416370368021876.75,416370368021876.75,0.1,3.4824459228509452,0.0025
127959783027039.83,127959783027039.83,0.1,3.898999484660087,0.0025
652867005704853.9,652867005704853.9,0.1,1.523985979364705,0.0025
392491176717903.06,392491176717903.06,0.1,3.8030414156571,0.0025
153587972295634.53,153587972295634.53,0.1,3.583154571817996,0.0025
169088469060495.06,169088469060495.06,0.1,3.329185330161407,0.0025
132075179130512.12,132075179130512.12,0.1,7.230148653837662,0.0025
140124092154878.81,140124092154878.81,0.1,2.8481301381766557,0.0025
356911356718063.1,356911356718063.1,0.1,2.562738266081489,0.0025
234516664882326.06,234516664882326.06,0.1,3.3771301029241045,0.0025
456049659469074.75,456049659469074.75,0.1,2.2871727289061408,0.0025
598883042030939.6,598883042030939.6,0.1,2.690040455428015,0.0025
153837809762907.7,153837809762907.7,0.1,2.301768116351127,0.0025
267025824095152.28,267025824095152.28,0.1,2.26208351445449,0.0025
760149064717591.8,760149064717591.8,0.1,3.9668436504896607,0.0025
152288756389678.06,152288756389678.06,0.1,2.830535236475693,0.0025
233518227342027.56,233518227342027.56,0.1,3.2357265065839687,0.0025
291169616540702.1,291169616540702.1,0.1,8.580476197759282,0.0025
641872988925149.0,641872988925149.0,0.1,3.2183199375505365,0.0025
164697364293832.56,164697364293832.56,0.1,3.8691938627967897,0.0025
431820397990987.1,431820397990987.1,0.1,2.548771454321222,0.0025
105549193489821.45,105549193489821.45,0.1,5.021949874790924,0.0025
420590395194461.2,420590395194461.2,0.1,3.5247270613527517,0.0025
192709696127226.44,192709696127226.44,0.1,2.7095478804972357,0.0025
803789586851784.5,803789586851784.5,0.1,3.0030332502494,0.0025
180001768062867.9,180001768062867.9,0.1,6.882744083550401,0.0025
761992206547415.4,761992206547415.4,0.1,2.299478355086166,0.0025
443617369676955.9,443617369676955.9,0.1,3.0817007735199025,0.0025
167754485941166.44,167754485941166.44,0.1,4.380054580640898,0.0025
482910390415239.25,482910390415239.25,0.1,1.746412382290338,0.0025
457063842408251.5,457063842408251.5,0.1,8.938728691585755,0.0025
230200516245831.2,230200516245831.2,0.1,5.412850914638826,0.0025
186675019549012.25,186675019549012.25,0.1,4.721326327159421,0.0025
183390154389816.4,183390154389816.4,0.1,6.553273075114092,0.0025
653109003481080.1,653109003481080.1,0.1,5.0784386989502135,0.0025
146220113188415.25,146220113188415.25,0.1,2.0290950850897187,0.0025
107400414153086.9,107400414153086.9,0.1,2.587279215456805,0.0025
103541872824949.14,103541872824949.14,0.1,3.5077860268633048,0.0025
251509588193800.22,251509588193800.22,0.1,2.7486164967200715,0.0025
217171450594128.56,217171450594128.56,0.1,3.84421996489227,0.0025
581896519199759.9,581896519199759.9,0.1,2.9569052522482893,0.0025
207905937164709.6,207905937164709.6,0.1,6.0671145320582935,0.0025
187872329901379.22,187872329901379.22,0.1,3.3892535897996323,0.0025
182375399423746.88,182375399423746.88,0.1,2.310853850926468,0.0025
682079714339033.5,682079714339033.5,0.1,2.0791530907617237,0.0025
264956207711230.22,264956207711230.22,0.1,3.431823914692044,0.0025
436418845709231.56,436418845709231.56,0.1,2.0591261459425776,0.0025
107465303019876.62,107465303019876.62,0.1,1.697473398068452,0.0025
141294551991209.12,141294551991209.12,0.1,2.3399326181245423,0.0025
298425809922567.1,298425809922567.1,0.1,4.227876101898079,0.0025
124392452527750.53,124392452527750.53,0.1,2.19437339141636,0.0025
191108909742104.22,191108909742104.22,0.1,2.490296886352115,0.0025
130864851364175.4,130864851364175.4,0.1,2.233282274333171,0.0025
